DILIG,EDAD,LESIVIDAD,SEXO
601,0,Leve,Hombre
603,0,Grave,Mujer
603,17,Leve,Mujer
605,22,Leve,Mujer
607,28,Leve,Hombre
609,29,Leve,Hombre
610,0,Leve,Hombre
611,65,Leve,Hombre
614,17,Leve,Hombre
626,70,Leve,Hombre
628,21,Menos Grave,Hombre
628,23,Menos Grave,Hombre
629,23,Leve,Hombre
629,24,Leve,Hombre
629,52,Leve,Mujer
630,0,Leve,Hombre
636,24,Leve,Hombre
638,0,Leve,Hombre
646,64,Grave,Mujer
647,33,Leve,Hombre
654,0,Leve,Hombre
670,41,Leve,Mujer
681,0,Leve,Hombre
681,0,Leve,Hombre
681,0,Leve,Hombre
681,46,Leve,Mujer
681,0,Leve,Hombre
681,28,Leve,Hombre
682,38,Leve,Hombre
689,79,Leve,Hombre
689,65,Leve,Hombre
691,21,Leve,Hombre
692,52,Leve,Mujer
693,24,Leve,Hombre
695,18,Leve,Hombre
700,0,Leve,Hombre
700,0,Leve,Hombre
703,18,Leve,Mujer
713,22,Leve,Hombre
718,31,Leve,Hombre
723,0,Leve,Hombre
724,49,Leve,Hombre
735,0,Leve,Hombre
735,0,Leve,Mujer
736,0,Grave,Hombre
737,21,Leve,Hombre
737,0,Leve,Hombre
739,5,Leve,Hombre
739,38,Leve,Mujer
744,53,Leve,Hombre
744,38,Leve,Hombre
745,20,Leve,Hombre
751,11,Leve,Hombre
753,21,Leve,Hombre
760,0,Leve,Hombre
761,39,Leve,Hombre
764,63,Leve,Mujer
767,31,Leve,Mujer
770,33,Leve,Hombre
770,0,Leve,Hombre
776,75,Leve,Hombre
777,27,Grave,Mujer
778,18,Leve,Mujer
791,0,Leve,Hombre
795,0,Leve,Hombre
796,20,Leve,Hombre
797,0,Leve,Mujer
798,18,Leve,Hombre
800,51,Leve,Mujer
801,15,Leve,Hombre
803,0,Leve,Hombre
803,0,Leve,Hombre
804,21,Leve,Hombre
810,0,Leve,Hombre
816,26,Leve,Hombre
817,19,Leve,Mujer
817,21,Leve,Hombre
818,24,Leve,Hombre
819,17,Leve,Hombre
827,31,Leve,Mujer
829,0,Leve,Hombre
834,10,Leve,Mujer
835,28,Leve,Hombre
836,24,Leve,Hombre
839,19,Leve,Hombre
841,0,Leve,Hombre
842,17,Leve,Hombre
843,0,Leve,Mujer
844,17,Leve,Hombre
854,0,Leve,Mujer
854,0,Leve,Hombre
854,60,Leve,Hombre
854,37,Leve,Hombre
854,0,Leve,Hombre
854,51,Leve,Mujer
854,45,Leve,Mujer
854,0,Leve,Mujer
857,26,Leve,Mujer
857,36,Leve,Mujer
857,38,Leve,Hombre
863,45,Leve,Mujer
863,17,Leve,Mujer
867,84,Leve,Hombre
872,0,Leve,Hombre
874,22,Leve,Hombre
875,48,Leve,Hombre
875,26,Leve,Hombre
875,36,Leve,Mujer
876,21,Leve,Hombre
877,24,Leve,Hombre
880,25,Leve,Mujer
883,31,Leve,Hombre
883,0,Leve,Mujer
908,17,Leve,Hombre
908,17,Leve,Hombre
910,55,Menos Grave,Mujer
912,22,Leve,Mujer
913,17,Leve,Hombre
915,40,Leve,Mujer
918,14,Leve,Mujer
920,39,Leve,Hombre
921,25,Grave,Hombre
942,0,Leve,Mujer
945,29,Leve,Hombre
946,70,Leve,Hombre
952,0,Leve,Hombre
955,0,Leve,Hombre
963,17,Leve,Hombre
966,18,Leve,Hombre
968,18,Leve,Hombre
969,25,Menos Grave,Hombre
975,0,Leve,Hombre
978,47,Leve,Hombre
992,0,Leve,Hombre
992,0,Leve,Hombre
994,21,Leve,Hombre
996,0,Leve,Hombre
999,20,Leve,Hombre
999,23,Leve,Mujer
1000,31,Leve,Mujer
1003,14,Leve,Hombre
1004,24,Leve,Mujer
1005,32,Leve,Mujer
1009,51,Leve,Hombre
1011,18,Leve,Hombre
1013,0,Leve,Hombre
1015,18,Leve,Hombre
1024,26,Leve,Hombre
1027,67,Leve,Hombre
1029,0,Leve,Hombre
1030,39,Leve,Hombre
1031,26,Leve,Hombre
1032,28,Leve,Hombre
1034,34,Leve,Mujer
1034,2,Leve,Hombre
1035,39,Leve,Hombre
1036,0,Leve,Hombre
1040,0,Leve,Mujer
1045,52,Leve,Mujer
1046,19,Leve,Hombre
1048,49,Leve,Hombre
1049,19,Leve,Mujer
1049,21,Leve,Hombre
1052,0,Leve,Hombre
1054,22,Grave,Hombre
1054,25,Leve,Hombre
1071,38,Leve,Hombre
1072,42,Leve,Hombre
1072,0,Leve,Hombre
1073,23,Leve,Hombre
1074,72,Leve,Hombre
1075,19,Leve,Mujer
1076,38,Leve,Mujer
1076,29,Leve,Hombre
1076,30,Leve,Hombre
1084,0,Leve,Hombre
1084,0,Leve,Hombre
1086,7,Leve,Hombre
1086,17,Leve,Hombre
1087,0,Leve,Hombre
1088,57,Leve,Hombre
1088,53,Leve,Hombre
1090,29,Leve,Hombre
1090,20,Grave,Mujer
1096,20,Leve,Mujer
1096,26,Leve,Hombre
1098,22,Leve,Hombre
1100,61,Leve,Hombre
1109,18,Leve,Hombre
1149,19,Leve,Hombre
1151,38,Leve,Mujer
1156,0,Leve,Hombre
1158,0,Leve,Hombre
1159,12,Leve,Mujer
1163,21,Leve,Hombre
1165,7,Leve,Mujer
1165,22,Leve,Mujer
1167,19,Leve,Hombre
1171,0,Leve,Hombre
1197,21,Leve,Hombre
1198,17,Leve,Mujer
1199,0,Leve,Mujer
1199,18,Leve,Hombre
1203,19,Leve,Hombre
1205,25,Leve,Hombre
1205,0,Leve,Mujer
1210,0,Leve,Hombre
1211,72,Leve,Mujer
1212,0,Leve,Mujer
1213,19,Leve,Hombre
1218,31,Leve,Hombre
1219,22,Leve,Mujer
1220,0,Leve,Hombre
1220,0,Leve,Hombre
1221,0,Leve,Mujer
1222,0,Leve,Hombre
1222,20,Leve,Hombre
1225,20,Leve,Hombre
1228,25,Leve,Mujer
1230,0,Leve,Mujer
1234,35,Leve,Mujer
1234,26,Leve,Mujer
1245,17,Leve,Mujer
1245,10,Leve,Mujer
1250,21,Leve,Hombre
1251,32,Leve,Mujer
1252,16,Leve,Hombre
1253,27,Leve,Hombre
1254,22,Leve,Hombre
1254,23,Leve,Hombre
1255,22,Leve,Hombre
1256,18,Leve,Hombre
1257,63,Leve,Hombre
1258,18,Grave,Hombre
1260,0,Leve,Hombre
1260,50,Leve,Hombre
1260,19,Leve,Hombre
1261,22,Leve,Mujer
1262,20,Leve,Hombre
1265,58,Leve,Hombre
1267,34,Leve,Mujer
1268,0,Leve,Hombre
1275,0,Leve,Hombre
1276,22,Leve,Hombre
1283,22,Leve,Hombre
1289,20,Leve,Mujer
1289,21,Leve,Hombre
1293,0,Leve,Hombre
1293,24,Leve,Hombre
1301,19,Menos Grave,Hombre
1302,81,Leve,Hombre
1307,49,Leve,Hombre
1309,22,Leve,Hombre
1310,33,Leve,Hombre
1310,45,Leve,Hombre
1317,32,Leve,Hombre
1328,0,Leve,Hombre
1330,39,Leve,Mujer
1330,24,Leve,Mujer
1332,16,Leve,Hombre
1332,18,Leve,Hombre
1353,20,Leve,Mujer
1354,0,Leve,Hombre
1355,45,Leve,Mujer
1358,36,Leve,Mujer
1363,36,Leve,Mujer
1366,9,Leve,Hombre
1377,14,Leve,Hombre
1378,37,Leve,Hombre
1379,5,Muy Grave,Hombre
1381,0,Leve,Hombre
1387,30,Leve,Mujer
1387,23,Leve,Mujer
1387,57,Leve,Mujer
1390,8,Leve,Hombre
1397,20,Leve,Hombre
1397,19,Leve,Mujer
1405,0,Leve,Mujer
1405,0,Leve,Mujer
1405,0,Leve,Mujer
1405,0,Leve,Mujer
1411,23,Leve,Hombre
1414,0,Leve,Hombre
1415,0,Leve,Mujer
1416,21,Grave,Hombre
1418,60,Leve,Mujer
1418,86,Leve,Mujer
1418,61,Leve,Mujer
1419,21,Leve,Hombre
1420,33,Leve,Mujer
1421,0,Leve,Hombre
1422,7,Leve,Hombre
1424,0,Leve,Hombre
1430,19,Leve,Mujer
1431,18,Leve,Hombre
1432,20,Leve,Hombre
1434,39,Leve,Hombre
1436,61,Leve,Mujer
1437,27,Leve,Hombre
1441,16,Grave,Mujer
1441,19,Menos Grave,Hombre
1449,34,Leve,Hombre
1451,18,Leve,Mujer
1454,0,Leve,Hombre
1460,58,Menos Grave,Hombre
1461,21,Leve,Mujer
1462,19,Leve,Hombre
1465,18,Leve,Hombre
1466,42,Leve,Mujer
1469,44,Leve,Hombre
1469,41,Leve,Mujer
1469,47,Leve,Mujer
1470,18,Leve,Hombre
1471,39,Leve,Mujer
1471,57,Leve,Hombre
1471,29,Leve,Hombre
1472,9,Leve,Mujer
1472,23,Leve,Mujer
1472,31,Leve,Mujer
1473,0,Leve,Hombre
1477,0,Leve,Hombre
1480,30,Leve,Hombre
1494,20,Leve,Mujer
1494,18,Leve,Mujer
1496,25,Leve,Hombre
1497,54,Leve,Hombre
1498,58,Leve,Mujer
1499,0,Leve,Hombre
1499,0,Leve,Hombre
1499,0,Leve,Hombre
1499,0,Leve,Hombre
1502,36,Leve,Hombre
1513,35,Leve,Hombre
1513,49,Leve,Hombre
1530,27,Leve,Hombre
1536,15,Menos Grave,Mujer
1539,34,Leve,Mujer
1541,19,Leve,Hombre
1542,19,Leve,Hombre
1544,24,Leve,Mujer
1545,0,Leve,Hombre
1547,22,Leve,Hombre
1548,37,Leve,Hombre
1549,0,Leve,Hombre
1549,24,Leve,Hombre
1550,0,Leve,Hombre
1551,0,Leve,Hombre
1552,21,Leve,Hombre
1554,20,Leve,Hombre
1563,19,Leve,Hombre
1564,0,Leve,Hombre
1567,0,Leve,Hombre
1569,4,Leve,Hombre
1575,55,Grave,Hombre
1593,0,Leve,Hombre
1603,5,Leve,Hombre
1606,22,Leve,Hombre
1608,24,Leve,Hombre
1614,27,Leve,Mujer
1617,36,Grave,Mujer
1617,18,Grave,Mujer
1628,0,Leve,Mujer
1629,0,Leve,Mujer
1630,0,Leve,Hombre
1631,27,Leve,Hombre
1632,21,Leve,Hombre
1636,17,Grave,Mujer
1636,19,Grave,Hombre
1640,26,Leve,Mujer
1659,30,Leve,Hombre
1663,0,Leve,Hombre
1664,0,Leve,Mujer
1666,35,Leve,Mujer
1666,75,Leve,Mujer
1672,0,Leve,Hombre
1672,0,Leve,Hombre
1676,35,Leve,Mujer
1685,31,Leve,Hombre
1689,27,Leve,Hombre
1691,58,Leve,Mujer
1691,58,Leve,Hombre
1693,0,Leve,Mujer
1695,27,Leve,Hombre
1695,37,Leve,Mujer
1696,0,Leve,Hombre
1698,16,Leve,Hombre
1699,23,Leve,Hombre
1699,21,Leve,Hombre
1704,19,Leve,Hombre
1710,40,Leve,Hombre
1712,26,Leve,Hombre
1715,32,Leve,Hombre
1724,71,Leve,Mujer
1728,32,Leve,Mujer
1729,20,Leve,Hombre
1730,0,Leve,Mujer
1734,0,Leve,Hombre
1744,28,Leve,Hombre
1746,29,Leve,Hombre
1752,23,Grave,Hombre
1755,13,Grave,Hombre
1762,0,Leve,Hombre
1766,24,Leve,Mujer
1766,20,Leve,Hombre
1766,16,Leve,Mujer
1766,16,Leve,Mujer
1766,30,Leve,Hombre
1766,25,Leve,Mujer
1766,23,Leve,Hombre
1767,28,Leve,Mujer
1768,29,Leve,Hombre
1768,24,Leve,Mujer
1771,58,Leve,Mujer
1773,82,Leve,Hombre
1776,33,Leve,Hombre
1777,16,Leve,Hombre
1780,48,Muerto,Hombre
1782,10,Leve,Hombre
1783,19,Leve,Hombre
1783,17,Leve,Hombre
1785,16,Grave,Mujer
1785,16,Menos Grave,Mujer
1785,16,Leve,Mujer
1786,0,Leve,Mujer
1789,22,Muerto,Hombre
1792,0,Leve,Hombre
1796,1,Leve,Hombre
1798,53,Leve,Hombre
1799,35,Leve,Mujer
1803,0,Leve,Hombre
1804,11,Leve,Hombre
1809,0,Leve,Hombre
1809,0,Leve,Mujer
1809,0,Leve,Mujer
1809,0,Leve,Mujer
1845,51,Leve,Hombre
1846,31,Leve,Hombre
1847,17,Leve,Hombre
1848,35,Leve,Mujer
1850,26,Grave,Mujer
1855,18,Leve,Hombre
1857,54,Leve,Mujer
1865,20,Leve,Hombre
1867,77,Leve,Hombre
1883,35,Leve,Mujer
1889,61,Leve,Mujer
1895,0,Leve,Hombre
1895,0,Leve,Mujer
1902,55,Leve,Mujer
1903,17,Leve,Hombre
1903,18,Leve,Hombre
1905,67,Grave,Hombre
1906,17,Leve,Hombre
1906,20,Leve,Hombre
1907,54,Leve,Hombre
1907,0,Leve,Hombre
1908,0,Leve,Hombre
1910,20,Leve,Hombre
1913,0,Leve,Hombre
1920,20,Leve,Hombre
1936,0,Leve,Hombre
1938,0,Leve,Hombre
1939,28,Leve,Hombre
1940,2,Leve,Hombre
1952,26,Leve,Hombre
1953,37,Leve,Mujer
1956,22,Leve,Hombre
1958,24,Leve,Hombre
1958,35,Leve,Hombre
1960,0,Leve,Hombre
1960,0,Grave,Mujer
1965,40,Leve,Hombre
1967,30,Leve,Mujer
1973,31,Leve,Hombre
1973,18,Leve,Hombre
1974,29,Leve,Hombre
1988,0,Leve,Hombre
1988,0,Leve,Hombre
1997,23,Leve,Hombre
1998,35,Leve,Hombre
1999,37,Leve,Hombre
2000,18,Leve,Hombre
2009,20,Leve,Hombre
2011,0,Leve,Hombre
2014,19,Leve,Hombre
2017,72,Leve,Hombre
2025,0,Leve,Hombre
2029,40,Leve,Mujer
2030,17,Leve,Hombre
2036,17,Leve,Hombre
2037,53,Leve,Mujer
2043,22,Grave,Hombre
2045,21,Leve,Hombre
2046,0,Muerto,Hombre
2049,56,Leve,Hombre
2051,20,Leve,Hombre
2052,20,Leve,Mujer
2058,70,Grave,Hombre
2059,60,Leve,Mujer
2064,48,Leve,Mujer
2073,0,Leve,Mujer
2073,25,Leve,Hombre
2076,14,Leve,Mujer
2078,34,Leve,Hombre
2079,0,Leve,Hombre
2080,0,Leve,Hombre
2080,28,Leve,Hombre
2084,22,Leve,Mujer
2086,21,Leve,Mujer
2088,20,Leve,Hombre
2090,17,Leve,Mujer
2090,79,Leve,Mujer
2092,17,Leve,Hombre
2093,23,Leve,Hombre
2096,24,Leve,Hombre
2097,3,Leve,Hombre
2100,25,Leve,Mujer
2100,25,Leve,Mujer
2102,22,Leve,Hombre
2109,31,Leve,Mujer
2111,0,Leve,Hombre
2112,29,Leve,Hombre
2125,49,Leve,Mujer
2126,19,Leve,Hombre
2136,19,Leve,Hombre
2145,59,Leve,Hombre
2146,40,Leve,Mujer
2152,31,Leve,Mujer
2153,70,Leve,Mujer
2155,68,Leve,Hombre
2156,0,Leve,Hombre
2157,19,Leve,Hombre
2158,27,Leve,Mujer
2160,0,Leve,Mujer
2163,0,Leve,Hombre
2163,24,Leve,Hombre
2167,35,Leve,Hombre
2170,48,Leve,Hombre
2182,17,Leve,Mujer
2182,17,Leve,Hombre
2184,0,Leve,Mujer
2186,29,Leve,Hombre
2187,38,Grave,Hombre
2188,51,Leve,Mujer
2198,0,Grave,Hombre
2199,21,Leve,Hombre
2200,19,Leve,Hombre
2201,30,Leve,Hombre
2212,21,Leve,Hombre
2213,0,Leve,Hombre
2214,38,Leve,Hombre
2218,45,Leve,Hombre
2219,40,Leve,Hombre
2223,19,Leve,Mujer
2223,28,Leve,Hombre
2234,27,Leve,Hombre
2243,46,Leve,Mujer
2247,22,Leve,Hombre
2251,70,Leve,Hombre
2255,0,Leve,Hombre
2260,20,Leve,Hombre
2260,37,Leve,Hombre
2262,27,Leve,Mujer
2275,17,Leve,Mujer
2277,72,Grave,Hombre
2278,20,Leve,Hombre
2283,17,Grave,Hombre
2286,7,Leve,Hombre
2286,74,Leve,Hombre
2290,23,Leve,Hombre
2293,44,Leve,Hombre
2293,3,Leve,Mujer
2295,0,Leve,Hombre
2296,0,Leve,Hombre
2299,0,Leve,Mujer
2299,19,Leve,Mujer
2311,17,Leve,Mujer
2312,17,Leve,Hombre
2313,10,Leve,Mujer
2313,43,Leve,Mujer
2313,6,Leve,Mujer
2346,0,Leve,Hombre
2346,55,Leve,Mujer
2346,52,Leve,Mujer
2349,28,Leve,Hombre
2351,0,Leve,Mujer
2351,50,Leve,Mujer
2357,22,Leve,Hombre
2357,0,Leve,Hombre
2358,55,Leve,Hombre
2362,60,Leve,Mujer
2370,22,Grave,Hombre
2371,0,Leve,Hombre
2374,0,Leve,Hombre
2377,32,Leve,Hombre
2377,32,Leve,Hombre
2382,73,Leve,Hombre
2384,33,Leve,Mujer
2389,85,Leve,Hombre
2395,21,Leve,Hombre
2407,0,Leve,Hombre
2412,0,Leve,Mujer
2414,70,Leve,Hombre
2425,21,Leve,Hombre
2426,17,Leve,Hombre
2427,19,Leve,Mujer
2434,20,Leve,Hombre
2455,29,Leve,Mujer
2458,0,Leve,Mujer
2469,20,Leve,Mujer
2470,0,Leve,Mujer
2472,17,Leve,Hombre
2476,14,Leve,Mujer
2477,41,Leve,Hombre
2477,66,Leve,Mujer
2479,50,Leve,Hombre
2484,0,Leve,Hombre
2486,22,Leve,Hombre
2486,0,Leve,Hombre
2488,0,Leve,Hombre
2497,19,Leve,Mujer
2498,18,Leve,Hombre
2500,19,Leve,Hombre
2502,0,Leve,Hombre
2503,37,Leve,Hombre
2508,25,Grave,Hombre
2523,0,Leve,Hombre
2526,0,Grave,Hombre
2527,26,Grave,Hombre
2528,53,Leve,Hombre
2538,0,Leve,Hombre
2540,24,Leve,Hombre
2545,49,Leve,Hombre
2548,62,Leve,Hombre
2551,28,Leve,Hombre
2551,25,Leve,Hombre
2554,21,Leve,Hombre
2556,29,Leve,Hombre
2556,33,Leve,Hombre
2559,28,Leve,Hombre
2559,5,Leve,Mujer
2567,68,Leve,Hombre
2573,19,Leve,Hombre
2591,0,Leve,Hombre
2611,0,Leve,Mujer
2612,38,Leve,Mujer
2612,40,Leve,Mujer
2612,29,Leve,Mujer
2613,30,Leve,Mujer
2613,29,Leve,Hombre
2618,31,Leve,Hombre
2619,21,Leve,Hombre
2622,0,Leve,Hombre
2627,27,Leve,Hombre
2630,16,Leve,Hombre
2630,43,Leve,Mujer
2632,80,Leve,Hombre
2634,7,Leve,Hombre
2642,54,Leve,Hombre
2643,17,Leve,Hombre
2645,58,Leve,Mujer
2645,1,Leve,Hombre
2645,47,Leve,Hombre
2646,31,Muy Grave,Hombre
2646,24,Leve,Hombre
2649,65,Leve,Hombre
2651,34,Leve,Mujer
2654,0,Leve,Hombre
2654,22,Leve,Hombre
2655,22,Leve,Mujer
2656,35,Leve,Mujer
2662,32,Leve,Hombre
2662,17,Leve,Mujer
2664,38,Leve,Hombre
2664,0,Leve,Mujer
2665,0,Leve,Hombre
2666,41,Leve,Hombre
2666,28,Leve,Mujer
2667,21,Leve,Hombre
2669,22,Leve,Hombre
2669,64,Leve,Mujer
2673,33,Leve,Hombre
2674,0,Leve,Mujer
2675,18,Leve,Hombre
2675,20,Leve,Hombre
2676,18,Leve,Mujer
2676,22,Leve,Hombre
2698,13,Leve,Mujer
2698,13,Leve,Hombre
2698,32,Leve,Mujer
2701,18,Leve,Mujer
2705,0,Leve,Mujer
2709,29,Leve,Hombre
2711,39,Grave,Mujer
2713,0,Leve,Hombre
2713,0,Leve,Hombre
2713,44,Leve,Hombre
2714,0,Leve,Hombre
2723,47,Muerto,Mujer
2725,18,Leve,Hombre
2726,58,Leve,Hombre
2730,39,Leve,Hombre
2731,0,Leve,Hombre
2736,0,Leve,Hombre
2743,20,Leve,Hombre
2743,32,Leve,Hombre
2746,50,Leve,Mujer
2749,26,Leve,Hombre
2749,19,Leve,Hombre
2749,56,Leve,Hombre
2752,32,Leve,Hombre
2755,0,Leve,Hombre
2757,0,Leve,Hombre
2774,34,Leve,Mujer
2778,29,Leve,Hombre
2786,0,Leve,Hombre
2787,0,Leve,Hombre
2791,0,Leve,Hombre
2791,21,Leve,Hombre
2794,0,Leve,Hombre
2795,18,Leve,Hombre
2800,31,Leve,Hombre
2801,26,Leve,Mujer
2814,45,Leve,Mujer
2821,0,Leve,Hombre
2822,38,Leve,Hombre
2834,0,Leve,Hombre
2842,56,Leve,Mujer
2842,49,Leve,Hombre
2842,48,Leve,Mujer
2852,38,Leve,Hombre
2853,17,Leve,Hombre
2855,25,Leve,Mujer
2862,33,Grave,Hombre
2868,59,Leve,Mujer
2869,0,Leve,Hombre
2870,60,Leve,Hombre
2876,43,Leve,Mujer
2893,0,Leve,Mujer
2896,31,Leve,Hombre
2897,6,Leve,Hombre
2906,22,Leve,Hombre
2906,35,Leve,Hombre
2911,0,Leve,Hombre
2912,29,Leve,Mujer
2912,24,Leve,Hombre
2913,68,Leve,Hombre
2915,22,Leve,Hombre
2917,39,Leve,Hombre
2925,16,Leve,Hombre
2926,36,Leve,Mujer
2926,21,Leve,Hombre
2927,62,Leve,Hombre
2930,17,Leve,Hombre
2931,18,Leve,Hombre
2933,10,Leve,Hombre
2937,27,Leve,Hombre
2942,41,Leve,Hombre
2942,0,Leve,Hombre
2965,33,Leve,Hombre
2966,21,Leve,Hombre
2968,4,Leve,Hombre
2968,17,Muerto,Hombre
2969,48,Leve,Hombre
2970,24,Leve,Hombre
2975,21,Leve,Hombre
2978,20,Leve,Hombre
2981,20,Leve,Hombre
2994,17,Leve,Mujer
2994,21,Leve,Mujer
2996,28,Grave,Hombre
3004,0,Leve,Hombre
3008,26,Leve,Hombre
3017,27,Leve,Hombre
3019,0,Leve,Hombre
3028,17,Leve,Hombre
3029,0,Grave,Hombre
3035,20,Leve,Hombre
3038,31,Leve,Mujer
3042,58,Leve,Mujer
3042,63,Leve,Mujer
3045,29,Leve,Mujer
3047,14,Leve,Hombre
3048,20,Leve,Mujer
3049,0,Leve,Mujer
3054,0,Leve,Hombre
3059,18,Leve,Mujer
3060,13,Leve,Hombre
3062,33,Leve,Mujer
3063,74,Leve,Mujer
3066,0,Leve,Mujer
3067,64,Leve,Mujer
3067,35,Leve,Hombre
3071,27,Leve,Hombre
3071,13,Leve,Mujer
3071,19,Leve,Mujer
3088,0,Leve,Hombre
3090,28,Leve,Hombre
3091,0,Leve,Hombre
3097,25,Leve,Hombre
3097,0,Leve,Mujer
