DILIG,EDAD,LESIVIDAD,SEXO
1,70,Muerto,Hombre
2,75,Grave,Hombre
4,72,Leve,Hombre
5,42,Leve,Hombre
9,20,Leve,Hombre
9,16,Leve,Mujer
11,10,Leve,Hombre
11,18,Leve,Hombre
13,0,Leve,Hombre
14,63,Leve,Mujer
15,0,Leve,Hombre
16,0,Leve,Mujer
16,0,Leve,Hombre
16,0,Leve,Hombre
17,27,Leve,Hombre
19,0,Leve,Hombre
19,0,Leve,Hombre
31,18,Leve,Mujer
44,19,Leve,Hombre
46,23,Leve,Hombre
47,76,Leve,Mujer
48,0,Leve,Mujer
53,0,Leve,Hombre
53,22,Leve,Hombre
54,0,Leve,Hombre
54,13,Leve,Hombre
55,19,Leve,Hombre
56,10,Leve,Mujer
64,56,Leve,Mujer
67,20,Leve,Hombre
67,20,Leve,Hombre
68,23,Leve,Mujer
68,17,Leve,Mujer
68,27,Leve,Hombre
68,21,Leve,Mujer
70,67,Leve,Hombre
74,45,Leve,Hombre
82,22,Leve,Hombre
82,19,Leve,Mujer
83,0,Leve,Hombre
90,0,Leve,Hombre
93,44,Leve,Hombre
96,42,Leve,Mujer
99,20,Leve,Mujer
103,17,Leve,Hombre
103,17,Leve,Hombre
103,17,Leve,Hombre
105,21,Leve,Mujer
105,20,Leve,Mujer
109,14,Leve,Mujer
110,18,Leve,Hombre
112,50,Leve,Mujer
117,0,Leve,Hombre
123,0,Leve,Hombre
125,27,Leve,Mujer
134,19,Leve,Hombre
134,48,Leve,Hombre
134,19,Leve,Hombre
137,49,Leve,Mujer
137,17,Leve,Hombre
138,0,Leve,Hombre
140,0,Leve,Hombre
140,0,Leve,Hombre
141,0,Leve,Mujer
160,0,Leve,Hombre
161,0,Leve,Mujer
162,32,Leve,Hombre
165,25,Leve,Hombre
165,18,Leve,Hombre
170,0,Leve,Hombre
177,32,Leve,Hombre
181,47,Leve,Hombre
188,21,Leve,Hombre
190,21,Leve,Hombre
196,0,Leve,Mujer
211,23,Leve,Hombre
212,40,Menos Grave,Hombre
212,37,Leve,Mujer
213,39,Leve,Hombre
217,0,Leve,Hombre
217,25,Leve,Hombre
217,62,Leve,Hombre
217,47,Leve,Mujer
218,20,Leve,Hombre
223,31,Leve,Mujer
227,31,Leve,Hombre
235,0,Leve,Hombre
237,0,Leve,Hombre
239,45,Leve,Hombre
240,18,Grave,Mujer
243,51,Leve,Mujer
243,43,Leve,Mujer
243,18,Leve,Hombre
248,0,Leve,Mujer
256,18,Leve,Hombre
256,22,Leve,Mujer
256,21,Leve,Hombre
256,23,Leve,Mujer
257,35,Leve,Hombre
261,1,Leve,Hombre
265,18,Leve,Mujer
265,21,Leve,Hombre
268,17,Leve,Hombre
272,17,Leve,Hombre
288,0,Leve,Hombre
288,0,Leve,Hombre
289,20,Grave,Hombre
293,37,Leve,Hombre
295,0,Leve,Mujer
305,8,Leve,Hombre
305,35,Leve,Hombre
305,1,Leve,Hombre
316,41,Leve,Mujer
322,42,Leve,Mujer
328,21,Leve,Hombre
330,0,Leve,Hombre
333,33,Leve,Hombre
335,45,Leve,Hombre
337,28,Leve,Mujer
338,29,Grave,Hombre
342,16,Leve,Hombre
352,30,Leve,Mujer
359,0,Grave,Hombre
361,10,Leve,Mujer
361,42,Leve,Hombre
367,20,Leve,Mujer
367,52,Grave,Mujer
370,0,Leve,Hombre
370,0,Leve,Hombre
378,17,Muy Grave,Hombre
381,18,Leve,Hombre
381,18,Leve,Hombre
382,10,Leve,Hombre
383,0,Leve,Hombre
383,34,Leve,Hombre
384,10,Leve,Hombre
390,0,Leve,Mujer
391,45,Leve,Hombre
391,80,Leve,Mujer
392,29,Leve,Hombre
394,0,Leve,Hombre
397,14,Leve,Mujer
398,37,Leve,Hombre
399,39,Leve,Hombre
399,0,Leve,Hombre
399,38,Leve,Hombre
402,18,Leve,Mujer
403,22,Leve,Hombre
403,19,Leve,Mujer
405,18,Leve,Hombre
406,0,Leve,Hombre
406,0,Leve,Hombre
406,20,Leve,Hombre
409,17,Leve,Hombre
416,0,Leve,Hombre
416,23,Leve,Mujer
426,20,Grave,Hombre
426,31,Leve,Mujer
426,17,Leve,Hombre
428,0,Leve,Hombre
434,25,Leve,Hombre
436,20,Leve,Hombre
442,25,Menos Grave,Mujer
443,0,Leve,Hombre
452,62,Leve,Mujer
452,27,Leve,Mujer
457,17,Leve,Mujer
458,29,Leve,Hombre
483,18,Leve,Hombre
484,34,Leve,Mujer
486,65,Leve,Hombre
488,62,Leve,Hombre
496,0,Leve,Hombre
497,0,Leve,Hombre
502,54,Leve,Mujer
502,32,Leve,Mujer
502,60,Leve,Mujer
502,42,Leve,Hombre
513,25,Leve,Hombre
513,21,Leve,Hombre
514,24,Leve,Hombre
514,23,Leve,Hombre
515,16,Leve,Mujer
515,16,Leve,Hombre
523,61,Leve,Hombre
524,25,Leve,Hombre
526,28,Leve,Hombre
528,19,Leve,Hombre
553,25,Leve,Hombre
555,19,Grave,Hombre
559,17,Leve,Hombre
561,0,Leve,Hombre
563,64,Leve,Hombre
564,0,Leve,Hombre
566,27,Leve,Hombre
567,28,Leve,Hombre
568,24,Leve,Hombre
573,36,Leve,Mujer
573,25,Leve,Hombre
574,52,Leve,Hombre
575,8,Leve,Hombre
582,62,Leve,Hombre
583,24,Leve,Hombre
583,23,Leve,Hombre
584,0,Leve,Hombre
585,0,Leve,Hombre
586,0,Leve,Hombre
587,24,Leve,Hombre
589,47,Leve,Hombre
589,41,Leve,Hombre
589,39,Leve,Mujer
590,0,Leve,Mujer
590,0,Leve,Mujer
590,0,Leve,Mujer
591,20,Leve,Hombre
592,20,Leve,Hombre
592,17,Leve,Mujer
