dc:identifier,dc:modified,dc:source,dc:type,uri
antonio_lopez_20190406164311.jpg,2019-04-06T14:43:12.743Z,http://datos.santander.es/files/camara_antonio_lopez/antonio_lopez_20190406164311.jpg,image/jpeg,http://datos.santander.es/api/datos/camara_antonio_lopez/antonio-lopez-20190406164311-jpg.csv
antonio_lopez_20190406164111.jpg,2019-04-06T14:41:12.383Z,http://datos.santander.es/files/camara_antonio_lopez/antonio_lopez_20190406164111.jpg,image/jpeg,http://datos.santander.es/api/datos/camara_antonio_lopez/antonio-lopez-20190406164111-jpg.csv
antonio_lopez_20190406163911.jpg,2019-04-06T14:39:12.353Z,http://datos.santander.es/files/camara_antonio_lopez/antonio_lopez_20190406163911.jpg,image/jpeg,http://datos.santander.es/api/datos/camara_antonio_lopez/antonio-lopez-20190406163911-jpg.csv
antonio_lopez_20190406163711.jpg,2019-04-06T14:37:12.652Z,http://datos.santander.es/files/camara_antonio_lopez/antonio_lopez_20190406163711.jpg,image/jpeg,http://datos.santander.es/api/datos/camara_antonio_lopez/antonio-lopez-20190406163711-jpg.csv
antonio_lopez_20190406163511.jpg,2019-04-06T14:35:12.611Z,http://datos.santander.es/files/camara_antonio_lopez/antonio_lopez_20190406163511.jpg,image/jpeg,http://datos.santander.es/api/datos/camara_antonio_lopez/antonio-lopez-20190406163511-jpg.csv
antonio_lopez_20190406163311.jpg,2019-04-06T14:33:12.674Z,http://datos.santander.es/files/camara_antonio_lopez/antonio_lopez_20190406163311.jpg,image/jpeg,http://datos.santander.es/api/datos/camara_antonio_lopez/antonio-lopez-20190406163311-jpg.csv
antonio_lopez_20190406163111.jpg,2019-04-06T14:31:12.705Z,http://datos.santander.es/files/camara_antonio_lopez/antonio_lopez_20190406163111.jpg,image/jpeg,http://datos.santander.es/api/datos/camara_antonio_lopez/antonio-lopez-20190406163111-jpg.csv
antonio_lopez_20190406162911.jpg,2019-04-06T14:29:12.486Z,http://datos.santander.es/files/camara_antonio_lopez/antonio_lopez_20190406162911.jpg,image/jpeg,http://datos.santander.es/api/datos/camara_antonio_lopez/antonio-lopez-20190406162911-jpg.csv
antonio_lopez_20190406162711.jpg,2019-04-06T14:27:12.558Z,http://datos.santander.es/files/camara_antonio_lopez/antonio_lopez_20190406162711.jpg,image/jpeg,http://datos.santander.es/api/datos/camara_antonio_lopez/antonio-lopez-20190406162711-jpg.csv
